2025-11-07T15:29:17.827Z | admin | login | auth | Successful login
2025-11-07T15:37:35.727Z | admin | view_registered | movie:extraction | Playback registered
2025-11-07T15:37:35.777Z | admin | view_registered | movie:extraction | Playback registered
2025-11-07T15:37:47.511Z | admin | view_registered | movie:the-irishman | Playback registered
2025-11-07T15:37:47.518Z | admin | view_registered | movie:the-irishman | Playback registered
2025-11-07T15:37:47.534Z | admin | view_registered | movie:the-irishman | Playback registered
2025-11-07T15:37:48.035Z | admin | update_history | the-irishman | {"contentId":"the-irishman","type":"movie","progress":0.00021434199412528524,"lastWatched":"2025-11-07T15:37:48.028Z"}
2025-11-07T15:37:53.275Z | admin | view_registered | movie:roma | Playback registered
2025-11-07T15:37:53.284Z | admin | view_registered | movie:roma | Playback registered
2025-11-07T15:37:56.543Z | admin | view_registered | movie:the-irishman | Playback registered
2025-11-07T15:37:56.546Z | admin | view_registered | movie:the-irishman | Playback registered
2025-11-07T15:37:56.567Z | admin | view_registered | movie:the-irishman | Playback registered
2025-11-07T15:37:56.847Z | admin | update_history | the-irishman | {"contentId":"the-irishman","type":"movie","progress":0.0003049509599989915,"lastWatched":"2025-11-07T15:37:56.841Z"}
2025-11-07T15:38:02.020Z | admin | view_registered | movie:the-irishman | Playback registered
2025-11-07T15:38:02.024Z | admin | view_registered | movie:the-irishman | Playback registered
2025-11-07T15:38:19.464Z | admin | view_registered | movie:the-irishman | Playback registered
2025-11-07T15:38:19.469Z | admin | view_registered | movie:the-irishman | Playback registered
2025-11-07T15:38:19.757Z | admin | update_history | the-irishman | {"contentId":"the-irishman","type":"movie","progress":0.00030666231736066463,"lastWatched":"2025-11-07T15:38:19.746Z"}
2025-11-07T15:38:28.835Z | admin | view_registered | series:dark | Playback registered
2025-11-07T15:39:05.175Z | admin | view_registered | movie:the-irishman | Playback registered
2025-11-07T15:39:05.177Z | admin | view_registered | movie:the-irishman | Playback registered
2025-11-07T15:39:08.071Z | admin | view_registered | movie:the-irishman | Playback registered
2025-11-07T15:39:08.075Z | admin | view_registered | movie:the-irishman | Playback registered
2025-11-07T15:39:08.367Z | admin | update_history | the-irishman | {"contentId":"the-irishman","type":"movie","progress":0.0002715779156108569,"lastWatched":"2025-11-07T15:39:08.361Z"}
2025-11-07T15:39:11.246Z | admin | view_registered | movie:the-irishman | Playback registered
2025-11-07T15:39:11.246Z | admin | view_registered | movie:the-irishman | Playback registered
2025-11-07T16:29:13.745Z | admin | create_series_via_episode | mha | {"season":7,"episode":1,"title":"MHA EP1 S7","synopsis":"Dans un monde où la plupart des humains possèdent un pouvoir appelé Alter, les héros protègent la société face aux criminels qui en abusent. Izuku Midoriya, né sans pouvoir, rêve pourtant de devenir un héros. Sa vie change le jour où il rencontre son idole, All Might, le plus grand de tous, qui décide de lui transmettre son Alter légendaire : One For All.  À l’académie U.A., Izuku découvre la dure réalité du métier de héros : rivalités, sacrifices et combats où le courage ne suffit pas toujours. Pour devenir le symbole de la paix, il devra apprendre à se relever… encore et encore.","duration":23,"streamUrl":"https://cvn33-1.sibnet.ru/52/09/69/5209697.mp4?st=hAxo8q2ROcu6rfNb2x607Q&e=1762561000&stor=32&noip=1&cache=4","subtitles":[{"lang":"fr","url":"https://storage.googleapis.com/mon-bucket/subs/s1e1_fr.vtt"}],"releaseDate":"2025-11-07T16:27:24.330Z"}
2025-11-07T16:31:20.379Z | admin | view_registered | series:mha | Playback registered
2025-11-07T16:31:40.984Z | admin | view_registered | series:mha | Playback registered
2025-11-07T16:35:28.101Z | admin | view_registered | series:mha | Playback registered
2025-11-07T16:35:29.880Z | admin | update_history | mha | {"contentId":"mha","type":"series","progress":0.00014142846643147667,"lastWatched":"2025-11-07T16:35:29.871Z","season":7,"episode":1}
2025-11-07T16:35:34.924Z | admin | update_history | mha | {"contentId":"mha","type":"series","progress":0.003669767884508229,"lastWatched":"2025-11-07T16:35:34.917Z","season":7,"episode":1}
2025-11-07T16:35:40.247Z | admin | update_history | mha | {"contentId":"mha","type":"series","progress":0.9848333094632239,"lastWatched":"2025-11-07T16:35:40.240Z","season":7,"episode":1}
2025-11-07T16:35:45.319Z | admin | update_history | mha | {"contentId":"mha","type":"series","progress":0.999,"lastWatched":"2025-11-07T16:35:45.308Z","season":7,"episode":1}
2025-11-07T16:35:46.500Z | admin | update_history | mha | {"contentId":"mha","type":"series","progress":1,"lastWatched":"2025-11-07T16:35:46.479Z","season":7,"episode":1}
2025-11-07T16:35:58.977Z | admin | view_registered | movie:the-irishman | Playback registered
2025-11-07T16:35:58.979Z | admin | view_registered | movie:the-irishman | Playback registered
2025-11-07T16:35:59.412Z | admin | update_history | the-irishman | {"contentId":"the-irishman","type":"movie","progress":0.000259685085032084,"lastWatched":"2025-11-07T16:35:59.404Z"}
2025-11-07T16:36:03.447Z | admin | view_registered | movie:roma | Playback registered
2025-11-07T16:36:03.459Z | admin | view_registered | movie:roma | Playback registered
2025-11-07T16:36:03.971Z | admin | update_history | roma | {"contentId":"roma","type":"movie","progress":0.00020930968468468468,"lastWatched":"2025-11-07T16:36:03.965Z"}
2025-11-07T16:36:09.019Z | admin | update_history | roma | {"contentId":"roma","type":"movie","progress":0.005893009009009009,"lastWatched":"2025-11-07T16:36:09.012Z"}
2025-11-08T08:58:03.319Z | admin | view_registered | series:mha | Playback registered
2025-11-08T08:58:11.936Z | admin | view_registered | series:mha | Playback registered
2025-11-08T08:58:19.173Z | admin | view_registered | movie:the-irishman | Playback registered
2025-11-08T08:58:19.179Z | admin | view_registered | movie:the-irishman | Playback registered
2025-11-08T08:58:19.646Z | admin | update_history | the-irishman | {"contentId":"the-irishman","type":"movie","progress":0.00030771182380898355,"lastWatched":"2025-11-08T08:58:19.638Z"}
2025-11-08T08:58:23.808Z | admin | view_registered | series:mha | Playback registered
2025-11-08T08:58:23.809Z | admin | view_registered | series:mha | Playback registered
2025-11-08T08:58:38.667Z | admin | view_registered | movie:roma | Playback registered
2025-11-08T08:58:38.670Z | admin | view_registered | movie:roma | Playback registered
2025-11-08T08:58:39.171Z | admin | update_history | roma | {"contentId":"roma","type":"movie","progress":0.0002175518018018018,"lastWatched":"2025-11-08T08:58:39.166Z"}
2025-11-08T08:58:44.375Z | admin | update_history | roma | {"contentId":"roma","type":"movie","progress":0.27413525225225227,"lastWatched":"2025-11-08T08:58:44.370Z"}
